bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"tig","prolyl isomerase (trigger factor)","tig","trigger factor; a molecular chaperone involved in cell division","tig","trigger factor","tig","trigger factor"
"qcrB","menaquinol:cytochrome c oxidoreductase (cytochrome b subunit)",NA,NA,"PA4430","cytochrome b",NA,NA
"ldt","murein transglycosylase","ynhG","L,D-transpeptidase YnhG",NA,NA,NA,NA
"azlB","transcriptional regulator (Lrp/AsnC family)","lrp","Lrp transcriptional dual regulator","PA2028","transcriptional regulator",NA,NA
"leuA","2-isopropylmalate synthase","leuA","2-isopropylmalate synthase","PA1217","2-isopropylmalate synthase","SP_1258","2-isopropylmalate synthase"
"yngE","putative propionyl-CoA carboxylase",NA,NA,"liuB","methylcrotonyl-CoA carboxylase, subunit beta",NA,NA
"yesO","pectin degradation byproducts-binding lipoprotein",NA,NA,NA,NA,"SP_1683","sugar ABC transporter substrate-binding protein"
"yczH","putative hydrolase","ysgA","predicted hydrolase","PA2682","orf",NA,NA
"yngJ","acyl-CoA dehydrogenase, short-chain specific","ydiO","predicted enoyl-CoA reductase",NA,NA,NA,NA
"ytjP","putative dipeptidase",NA,NA,NA,NA,"SP_0623","dipeptidase PepV"
"garD","D-galactarate dehydratase","garD","galactarate dehydratase",NA,NA,NA,NA
"yugJ","putative NADH-dependent butanol dehydrogenase","yqhD","NADPH-dependent aldehyde reductase",NA,NA,NA,NA
"asd","aspartate-semialdehyde dehydrogenase","usg","predicted semialdehyde dehydrogenase","PA3116","aspartate-semialdehyde dehydrogenase","SP_1013","aspartate-semialdehyde dehydrogenase"
"rpe","ribulose-5-phosphate 3-epimerase","rpe","ribulose-5-phosphate 3-epimerase","rpe","ribulose-phosphate 3-epimerase","SP_1983","ribulose-phosphate 3-epimerase"
"ycsI","conserved hypothetical protein",NA,NA,"PA2116","orf",NA,NA
"catE","catechol-2,3-dioxygenase subunit",NA,NA,NA,NA,"SP_0073","orf"
"murAB","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",NA,NA,NA,NA,"SP_1081","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"yugF","putative hydrolase",NA,NA,"PA0829","hydrolase",NA,NA
"rlmCD","23S rRNA ","rlmD","23S rRNA ","ygcA","23S rRNA 5-methyluridine methyltransferase","SP_1029","RNA methyltransferase"
"pyrG","CTP synthetase","pyrG","","pyrG","CTP synthetase","pyrG","CTP synthetase"
"comEC","DNA channel for uptake in competent cells","ycaI","conserved inner membrane protein","PA2984","orf","SP_0955","competence protein CelB"
"yqeL","conserved hypothetical protein","rsfS","ribosomal silencing factor","PA4005","orf","SP_1744","iojap-like protein"
"oppA","oligopeptide ABC transporter (binding lipoprotein)","mppA","murein tripeptide ABC transporter OppBCDFMppA - periplasmic binding protein","PA4496","ABC transporter","SP_1527","oligopeptide ABC transporter oligopeptide-binding protein AliB"
"cysC","adenylylsulfate kinase",NA,NA,"cysC","adenosine 5'-phosphosulfate (APS) kinase",NA,NA
"yqeH","GTPase involved in ribosome 30S assembly",NA,NA,NA,NA,"SP_1749","GTP-binding protein YqeH"
"ytpP","putative thiol-disulfide oxidoreductase with thiredoxin domain",NA,NA,"PA2694","thioredoxin","SP_1911","thioredoxin"
"rpsM","ribosomal protein S13","rpsM","30S ribosomal subunit protein S13","rpsM","30S ribosomal protein S13","rpsM","30S ribosomal protein S13"
"yloB","P-type calcium transport ATPase","mgtA","M","PA1429","cation-transporting P-type ATPase","SP_1551","cation transporter E1-E2 family ATPase"
"pbpE","penicillin-binding protein 4*","ampC","β-lactamase; penicillin resistance","PA2315","orf",NA,NA
"alsD","alpha-acetolactate decarboxylase",NA,NA,NA,NA,"SP_1392","alpha-acetolactate decarboxylase"
"ybaE","ABC efflux transporter (ATP-binding protein)",NA,NA,NA,NA,"cbiO","cobalt transporter ATP-binding subunit"
"mtbP","putative SP-beta prophage DNA (cytosine-5-)-methyltransferase","dcm","DNA-cytosine methyltransferase",NA,NA,"SP_1336","type II DNA modification methyltransferase Spn5252IP"
"leuS","leucyl-tRNA synthetase","leuS","leucyl-tRNA synthetase","leuS","leucyl-tRNA synthetase","leuS","leucyl-tRNA synthetase"
"dinB","nuclease inhibitor",NA,NA,"PA2496","orf",NA,NA
"yezD","conserved hypothetical protein",NA,NA,"PA0284","orf",NA,NA
"ydgK","putative efflux transporter","bcr","multidrug efflux transporter Bcr","PA3573","major facilitator superfamily (MFS) transporter",NA,NA
"clpP","ATP-dependent Clp protease proteolytic subunit","clpP","","clpP","ATP-dependent Clp protease proteolytic subunit","clpP","ATP-dependent Clp protease proteolytic subunit"
"khtU","transporter involved in K+ efflux","ybaL","YbaL CPA2 transporter","PA5529","sodium/proton antiporter",NA,NA
"yqhS","putative 3-dehydroquinate dehydratase",NA,NA,"aroQ2","3-dehydroquinate dehydratase",NA,NA
"yxlA","putative purine-cytosine permease",NA,NA,"PA5099","transporter",NA,NA
"ampS","aminopeptidase",NA,NA,NA,NA,"SP_0278","aminopeptidase"
"mntR","transcriptional regulator (DtxR family)","mntR","",NA,NA,"SP_1638","iron-dependent transcriptional regulator"
"ykqA","conserved hypothetical protein","ytfP","conserved protein",NA,NA,NA,NA
"rnhB","ribonuclease HII","rnhB","RNAse HII,  degrades RNA of DNA-RNA hybrids","rnhB","ribonuclease HII","rnhB","ribonuclease HII"
"araP","arabinose/arabinan permease","ycjO","",NA,NA,NA,NA
"rpsR","ribosomal protein S18","rpsR","30S ribosomal subunit protein S18","rpsR","30S ribosomal protein S18","rpsR","30S ribosomal protein S18"
"holB","DNA polymerase III delta' subunit",NA,NA,NA,NA,"SP_0936","DNA polymerase III subunit delta"
"ykrA","putative hydrolase",NA,NA,NA,NA,"SP_1997","Cof family protein"
"yoaR","putative factor for cell wall maintenance or synthesis",NA,NA,"PA0749","orf",NA,NA
"pbpG","sporulation specific penicillin-binding protein","mrcB","","mrcB","penicillin-binding protein 1B",NA,NA
"yabC","putative methyltransferase","rsmI","16S rRNA 2'","PA4422","orf","SP_0938","tetrapyrrole methylase"
"yvgM","putative molybdenum transport permease","modB","molybdate ABC transporter - membrane subunit","cysT","sulfate transporter CysT",NA,NA
"thrZ","threonyl-tRNA synthetase","thrS","threonyl-tRNA synthetase","thrS","threonyl-tRNA synthetase",NA,NA
"ygaE","putative membrane protein",NA,NA,NA,NA,"SP_0500","orf"
"dfrA","dihydrofolate reductase","folA","dihydrofolate reductase","folA","dihydrofolate reductase","SP_1571","dihydrofolate reductase"
"ypuA","putative exported protein",NA,NA,NA,NA,"SP_1027","orf"
"yrvM","putative enzyme of sulfur-containing coenzyme synthesis","tcdA","tRNA threonylcarbamoyladenosine dehydratase","PA1164","orf",NA,NA
"phoR","PhoR sensory histidine kinase, phosphorylated",NA,NA,"phoR","two-component sensor PhoR","SP_2083","sensor histidine kinase PnpS"
"yjcF","putative acetyltransferase",NA,NA,"PA2631","acetyl transferase",NA,NA
"yisV","putative PLP-dependent transcriptional regulator",NA,NA,"PA2032","transcriptional regulator",NA,NA
"ligD","ATP-dependent DNA ligase subunit",NA,NA,"PA2138","ATP-dependent DNA ligase",NA,NA
"xynP","putative H+-xyloside symporter","uidB","glucuronide:",NA,NA,NA,NA
"yhcF","putative transcriptional regulator (GntR family)",NA,NA,NA,NA,"SP_1714","GntR family transcriptional regulator"
"yocA","putative transposon-related lytic enzyme",NA,NA,NA,NA,"SP_1026","orf"
"adaB","O6-methylguanine-DNA methyltransferase",NA,NA,NA,NA,"SP_1463","methylated-DNA--protein-cysteine S-methyltransferase"
"yyaQ","conserved hypothetical protein","yjbR","conserved protein",NA,NA,"SP_1259","orf"
"thrB","homoserine kinase","thrB","",NA,NA,"SP_1360","homoserine kinase"
"yncB","DNA nuclease, lipoprotein",NA,NA,"PA5048","nuclease",NA,NA
"mbl","MreB-like morphogen",NA,NA,"mreB","rod shape-determining protein MreB",NA,NA
"yprA","putative ATP-dependent helicase","lhr","member of  ATP-dependent helicase superfamily II","PA3272","ATP-dependent DNA helicase",NA,NA
"hisB","imidazoleglycerol-phosphate dehydratase","hisB","","hisB","imidazoleglycerol-phosphate dehydratase",NA,NA
"yutF","putative p-nitrophenyl phosphatase","umpH","UMP phosphatase","PA3886","orf","SP_1407","HAD superfamily hydrolase"
"yflP","conserved hypothetical protein",NA,NA,"PA0754","orf",NA,NA
"yvbU","putative transcriptional regulator (LysR family)",NA,NA,"PA0218","transcriptional regulator","SP_0676","transcriptional regulator"
"gatB","glutamyl-tRNA(Gln) amidotransferase (subunit B)",NA,NA,"gatB","aspartyl/glutamyl-tRNA amidotransferase subunit B","gatB","aspartyl/glutamyl-tRNA amidotransferase subunit B"
"minC","cell-division regulator (septum placement)",NA,NA,"minC","septum formation inhibitor",NA,NA
"artQ","High affinity arginine ABC transporter (permease)",NA,NA,"PA1340","amino acid ABC transporter membrane protein","SP_0823","amino acid ABC transporter permease"
"cheB","methyl-accepting chemotaxis proteins (MCP)-glutamate methylesterase","cheB","CheB-","PA1459","chemotaxis-specific methylesterase",NA,NA
"uxaC","galacturonate isomerase","uxaC","D-glucuronate isomerase / D-galacturonate isomerase",NA,NA,NA,NA
"purT","phosphoribosylglycinamide formyltransferase 2","purT","phosphoribosylglycinamide formyltransferase 2","purT","phosphoribosylglycinamide formyltransferase 2",NA,NA
"sigD","RNA polymerase sigma-28 factor (sigma-D)","fliA","RNA polymerase, sigma 28 (sigma F) factor","fliA","flagellar biosynthesis sigma factor",NA,NA
"mtlA","phosphotransferase system (PTS) mannitol-specific enzyme IICB component","mtlA","",NA,NA,"SP_0394","PTS system mannitol-specific transporter subunit IIBC"
"yacD","putative protein secretion PrsA homolog","ppiD","periplasmic folding helper protein",NA,NA,NA,NA
"ybfM","putative membrane phosphatase","dedA","conserved inner membrane protein",NA,NA,NA,NA
"purC","phosphoribosylaminoimidazole succinocarboxamide synthetase","purC","","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","SP_0044","phosphoribosylaminoimidazole-succinocarboxamide synthase"
"yvyD","ribosome-associated sigma 54 modulation protein","hpf","hibernation promoting factor","PA4463","orf","SP_2206","ribosomal subunit interface protein"
"sul","dihydropteroate synthase","folP","","folP","dihydropteroate synthase","SP_0289","dihydropteroate synthase"
"yulD","L-rhamnose mutarotase","rhaM","L-rhamnose mutarotase",NA,NA,NA,NA
"purM","phosphoribosylaminoimidazole synthetase","purM","","purM","phosphoribosylaminoimidazole synthetase","SP_0047","phosphoribosylaminoimidazole synthetase"
"hag","flagellin protein","fliC","flagellar biosynthesis; flagellin, filament structural protein","fliC","flagellin type B",NA,NA
"yvbG","putative integral inner membrane protein","ychE","predicted inner membrane protein","PA4857","orf",NA,NA
"phoH","phosphate starvation-induced protein","ybeZ","predicted protein with nucleoside triphosphate hydrolase domain","PA3981","orf","SP_0948","PhoH family protein"
"yitV","putative hydrolase","yjfP","esterase",NA,NA,NA,NA
"yqeZ","putative membrane bound hydrolase",NA,NA,"PA0451","orf",NA,NA
"tufA","elongation factor Tu","tufB","elongation factor Tu","tufB","elongation factor Tu","tuf","elongation factor Tu"
"ylmD","conserved hypothetical protein","yfiH","conserved protein","PA4543","orf",NA,NA
"ydeQ","putative NAD(P)H oxidoreductase",NA,NA,"PA4975","NAD(P)H quinone oxidoreductase",NA,NA
"rplW","ribosomal protein L23","rplW","50S ribosomal subunit protein L23","rplW","50S ribosomal protein L23","rplW","50S ribosomal protein L23"
"papB","Xaa-Pro aminopeptidase",NA,NA,"PA4498","metallopeptidase","SP_1591","proline dipeptidase"
"yosS","SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase",NA,NA,NA,NA,"dut","deoxyuridine 5'-triphosphate nucleotidohydrolase"
"sufD","FeS assembly protein SufD",NA,NA,NA,NA,"SP_0868","orf"
"atpB","ATP synthase (subunit a, component F0)","atpB","ATP synthase ","atpB","F0F1 ATP synthase subunit A","SP_1513","ATP synthase F0F1 subunit A"
"gspA","putative glycosyl transferase (general stress protein)","waaI","UDP-D-glucose:(glucosyl)LPS α-1,3-glucosyltransferase",NA,NA,"SP_1767","glycosyl transferase family protein"
"yqiI","putative N-acetylmuramoyl-L-alanine amidase",NA,NA,"amiB","N-acetylmuramoyl-L-alanine amidase",NA,NA
"trpE","anthranilate synthase","trpE","anthranilate synthase component I","trpE","anthranilate synthase component I","SP_1817","anthranilate synthase component I"
"metQ","methionine ABC transporter (ATP-binding protein)","metN","L-methionine / D-methionine ABC transporter - ATP binding subunit","PA5503","ATP-binding component of ABC transporter","SP_0151","ABC transporter ATP-binding protein"
"recN","factor for double strand breaks DNA repair and genetic recombination","recN","protein used in recombination and DNA repair","recN","DNA repair protein RecN","SP_1202","DNA repair protein RecN"
"ywlF","ribose 5-phosphate epimerase","rpiB","allose-6-phosphate isomerase / ribose-5-phosphate isomerase B monomer",NA,NA,"SP_1193","galactose-6-phosphate isomerase subunit LacA"
"nrdIB","SPbeta phage subunit of nucleoside diphosphate reductase",NA,NA,NA,NA,"SP_0158","flavoprotein NrdI"
"ecsB","ABC transporter (membrane protein)",NA,NA,NA,NA,"SP_0523","ABC transporter permease"
"ndk","nucleoside diphosphate kinase","ndk","","ndk","nucleoside diphosphate kinase","ndk","nucleoside diphosphate kinase"
"ykuU","putative 2-cys peroxiredoxin",NA,NA,"PA3529","peroxidase",NA,NA
"yaaA","putative RNA binding protein",NA,NA,NA,NA,"SP_2226","orf"
"moeB","molybdopterin biosynthesis adenylyltransferase","moeB","molybdopterin-synthase adenylyltransferase","PA2103","molybdopterin biosynthesis protein MoeB",NA,NA
"gltB","glutamate synthase (small subunit)","gltD","glutamate synthase, small subunit","gltD","glutamate synthase subunit beta",NA,NA
"nupO","putative carbohydrate ABC transporter (ATP-binding protein)",NA,NA,"PA0136","ATP-binding component of ABC transporter","SP_0846","sugar ABC transporter ATP-binding protein"
"ylxM","conserved hypothetical protein",NA,NA,NA,NA,"SP_1288","DNA-binding protein"
"cinA","competence-damage inducible regulator","yfaY","conserved protein","PA3618","orf","SP_1941","competence damage-inducible protein A"
"lrpC","transcriptional regulator (Lrp/AsnC family)",NA,NA,"PA4784","transcriptional regulator",NA,NA
"narG","nitrate reductase (alpha subunit)","narZ","nitrate reductase Z, α subunit","narG","respiratory nitrate reductase subunit alpha",NA,NA
"glmS","L-glutamine-D-fructose-6-phosphate amidotransferase","glmS","","glmS","glucosamine--fructose-6-phosphate aminotransferase","SP_0266","glucosamine--fructose-6-phosphate aminotransferase"
"mrpA","Na+/H+ antiporter","nuoL","NADH:ubiquinone oxidoreductase, membrane subunit L","PA1054","monovalent cation/H+ antiporter subunit A",NA,NA
"cotJC","component of the inner spore coat",NA,NA,"katN","non-heme catalase KatN",NA,NA
"yxaL","membrane associated protein kinase with beta-propeller domain","bamB","Outer Membrane Protein Assembly Complex - BamB subunit",NA,NA,NA,NA
"yfhB","putative isomerase","yddE","conserved protein","phzF1","phenazine biosynthesis protein",NA,NA
"argS","arginyl-tRNA synthetase","argS","arginyl-tRNA synthetase","argS","arginyl-tRNA synthetase","argS","arginyl-tRNA synthetase"
"yqgX","putative metal-binding hydrolase","ycbL","predicted metal-binding enzyme","PA0832","orf","SP_1646","metallo-beta-lactamase superfamily protein"
"yesN","YesN two-component response regulator",NA,NA,NA,NA,"SP_0156","DNA-binding response regulator"
"purA","adenylosuccinate synthetase","purA","","purA","adenylosuccinate synthetase","SP_0019","adenylosuccinate synthetase"
"proB","glutamate 5-kinase","proB","",NA,NA,"SP_0931","gamma-glutamyl kinase"
"ebrB","small multidrug efflux transporter","emrE","",NA,NA,NA,NA
"nadF","inorganic polyphosphate/ATP-NAD kinase","nadK","NAD kinase monomer","PA3088","inorganic polyphosphate/ATP-NAD kinase","ppnK","inorganic polyphosphate/ATP-NAD kinase"
"bceR","BceR two-component response regulator, phosphorylated",NA,NA,NA,NA,"SP_1633","DNA-binding response regulator"
"yqgN","5-formyltetrahydrofolate cyclo-ligase","fau","5-formyltetrahydrofolate cyclo-ligase","PA5228","orf","SP_2095","5-formyltetrahydrofolate cyclo-ligase"
"ymaH","Hfq-like RNA chaperone","hfq","RNA-binding protein that affects many cellular processes; homolog of mammalian Sm/Sm-like proteins","hfq","RNA-binding protein Hfq",NA,NA
"yfnH","putative sugar-phosphate cytidylyltransferase",NA,NA,"PA0597","nucleotidyl transferase",NA,NA
"chr3C","short-chain chromate ion transporter",NA,NA,"PA4289","transporter",NA,NA
"aroK","shikimate kinase","aroK","shikimate kinase I","aroK","shikimate kinase","SP_1370","shikimate kinase"
"mdxD","glucan 1,4-alpha-maltohydrolase","malZ","maltodextrin glucosidase",NA,NA,NA,NA
"yfnC","putative efflux transporter","fsr","fosmidomycin efflux transporter",NA,NA,NA,NA
"besA","bacillibactin trilactone hydrolase",NA,NA,"PA2689","orf",NA,NA
"yloU","conserved hypothetical protein",NA,NA,NA,NA,"SP_0442","orf"
"btr","transcriptional regulator (AraC/XylS family), bacillibactin transport",NA,NA,"PA2696","transcriptional regulator",NA,NA
"yvdA","putative carbonic anhydrase",NA,NA,NA,NA,"SP_0024","orf"
"yfmR","putative ABC protein involved in RecA-independent precise excision of transposons","uup","ATP-binding protein with possible role in replication","PA4595","ABC transporter ATP-binding protein","SP_1553","ABC transporter ATP-binding protein"
"spsD","putative TDP-glycosamine N-acetyltransferase","rffC","dTDP-fucosamine acetyltransferase",NA,NA,NA,NA
"ysdC","putative endo-1,4-beta-glucanase","frvX","frv operon protein",NA,NA,NA,NA
"codV","site-specific tyrosine recombinase for chromosome partitioning",NA,NA,NA,NA,"SP_0890","phage integrase family integrase/recombinase"
"speA","arginine decarboxylase","ldcC","","ldcA","lysine-specific pyridoxal 5'-phosphate-dependent carboxylase, LdcA","SP_0916","lysine decarboxylase"
"manA","mannose-6 phosphate isomerase; cupin family","manA","mannose-6-phosphate isomerase",NA,NA,"SP_0736","mannose-6-phosphate isomerase"
"flgC","flagellar component of cell-proximal portion of basal-body rod","flgC","flagellar basal-body rod protein FlgC","flgC","flagellar basal body rod protein FlgC",NA,NA
"infC","initiation factor IF-3","infC","protein chain initiation factor IF-3","infC","translation initiation factor IF-3","infC","translation initiation factor IF-3"
"veg","conserved hypothetical protein",NA,NA,NA,NA,"SP_2202","orf"
"tkt","transketolase","tktA","transketolase I","tktA","transketolase","SP_2030","transketolase"
"nagR","transcriptional regulator of GlcNAc catabolism gene expression (GntR family)","mngR","","PA3757","transcriptional regulator","SP_1446","GntR family transcriptional regulator"
"ndoA","endoribonuclease toxin","mazF","MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity",NA,NA,NA,NA
"ssuB","aliphatic sulfonate ABC transporter (ATP-binding protein)","tauB","taurine ABC transporter - ATP binding subunit","PA0184","ATP-binding component of ABC transporter",NA,NA
"csoR","repressor of copper utilisation proteins","frmR","regulator protein","PA1298","orf",NA,NA
"yxiE","phosphate starvation protein (universal stress protein A family)",NA,NA,"PA3309","orf","SP_1996","universal stress protein"
"drm","phosphopentomutase","deoB","phosphopentomutase",NA,NA,"SP_0829","phosphopentomutase"
"yvaE","putative metabolite-efflux transporter",NA,NA,"PA1541","drug efflux transporter",NA,NA
"dnaE","DNA polymerase III (alpha subunit)","dnaE","DNA polymerase III, α subunit","dnaE","DNA polymerase III subunit alpha","dnaE","DNA polymerase III DnaE"
"ypiA","conserved hypothetical protein",NA,NA,NA,NA,"SP_1504","orf"
"ylbK","putative hydrolase","rssA","conserved protein","plpD","patatin-like protein, PlpD",NA,NA
"cspR","putative rRNA methylase","trmL","tRNA (cytidine/uridine-2'","PA5127","rRNA methylase","SP_0486","RNA methyltransferase"
"queA","S-adenosylmethionine tRNA ribosyltransferase-isomerase","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","queA","S-adenosylmethionine--tRNA ribosyltransferase-isomerase"
"ytnM","putative transporter",NA,NA,"PA5024","orf",NA,NA
"kinE","two-component sensor histidine kinase","atoS","AtoS sensory histidine kinase - phosphorylated",NA,NA,NA,NA
"yrbE","putative oxidoreductase",NA,NA,"PA0237","oxidoreductase",NA,NA
"mtnE","methionine-glutamine aminotransferase","alaC","glutamate-pyruvate aminotransferase","PA4715","aminotransferase",NA,NA
"yddQ","putative hydrolase",NA,NA,"PA1677","orf","SP_1745","isochorismatase"
"yhcW","putative phosphoglycolate phosphatase","yniC","2-deoxyglucose-6-phosphatase","PA2067","hydrolase",NA,NA
"dhaS","putative aldehyde dehydrogenase","feaB","","PA4073","aldehyde dehydrogenase",NA,NA
"yyaE","putative oxidoreductase",NA,NA,"PA2714","molybdopterin oxidoreductase",NA,NA
"ycxD","putative PLP-dependent transcriptional regulator",NA,NA,NA,NA,"SP_1393","orf"
"pucR","transcriptional regulator of the purine degradation operon",NA,NA,"PA1915","orf",NA,NA
"glpK","glycerol kinase","glpK","","glpK","glycerol kinase","glpK","glycerol kinase"
"qoxC","cytochrome aa3-600 quinol oxidase (subunit III)","cyoC","cytochrom","cyoC","cytochrome o ubiquinol oxidase subunit III",NA,NA
"cotSA","spore coat protein",NA,NA,NA,NA,"SP_1366","group 1 glycosyl transferase"
"pucE","xanthine dehydrogenase, iron-sulfur subunit","paoA","aldehyde dehydrogenase, Fe-S subunit","PA1602","oxidoreductase",NA,NA
"dinG","damage inducible ATP-dependent helicase","yoaA","conserved protein","PA1045","ATP-dependent DNA helicase DinG","SP_0802","bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon"
"ureC","urease (alpha subunit)",NA,NA,"ureC","urease subunit alpha",NA,NA
"hemB","delta-aminolevulinic acid dehydratase (porphobilinogen synthase)","hemB","porphobilinogen synthase","hemB","delta-aminolevulinic acid dehydratase",NA,NA
"glgD","glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) beta subunit",NA,NA,NA,NA,"SP_1123","glycogen biosynthesis protein GlgD"
"cca","tRNA nucleotidyltransferase","pcnB","poly(A) polymerase I","pcnB","poly(A) polymerase","SP_1554","tRNA CCA-pyrophosphorylase"
"nusA","transcription translation coupling factor involved in Rho-dependent transcription termination","nusA","transcription termination/antitermination L factor","nusA","transcription elongation factor NusA","nusA","transcription elongation factor NusA"
"gltR","transcriptional regulator (LysR family)","yneJ","predicted DNA-binding transcriptional regulator, LysR-type",NA,NA,NA,NA
"malS","NAD-dependent malic enzyme (conversion of malate into pyruvate)","maeA","malate dehydrogenase, NAD-requiring","PA3471","malate dehydrogenase",NA,NA
"ybgG","homocysteine methylase using (R,S)AdoMet","mmuM","homocystein",NA,NA,NA,NA
"rpoZ","Omega subunit of RNA polymerase","rpoZ","RNA polymerase, ω subunit",NA,NA,"SP_1737","DNA-directed RNA polymerase subunit omega"
"rbfA","ribosome-binding factor A","rbfA","30S ribosome binding factor","rbfA","ribosome-binding factor A","rbfA","ribosome-binding factor A"
"prmC","glutamine methylase of release factor 1 (and perhaps others) at a GGQ site","prmC","protein-(glutamine-N5) methyltransferase","hemK","methyl transferase","SP_1021","HemK protein"
"ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway","ispD","4-diphosphocytidyl-2C-methyl-D-erythritol synthetase monomer","ygbP","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"mrnC","ribonuclease for 23S RNA maturation",NA,NA,NA,NA,"SP_0592","orf"
"dnaK","molecular chaperone","dnaK","chaperone protein DnaK","dnaK","molecular chaperone DnaK","dnaK","molecular chaperone DnaK"
"gatA","glutamyl-tRNA(Gln) amidotransferase (subunit A)",NA,NA,"gatA","aspartyl/glutamyl-tRNA amidotransferase subunit A","gatA","aspartyl/glutamyl-tRNA amidotransferase subunit A"
"yhaQ","Na+-efflux ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_1717","ABC transporter ATP-binding protein"
"cwlP","SPbeta phage protein; lytic transglycosylase","mepM","murein DD-endopeptidase MepM","PA0667","orf",NA,NA
"artR","High affinity arginine ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_1242","amino acid ABC transporter ATP-binding protein"
"ymcB","putative conserved AdoMet radical enzyme for tRNA modification","miaB","isopentenyl-adenosine A37 tRNA methylthiolase","PA3980","(dimethylallyl)adenosine tRNA methylthiotransferase",NA,NA
"mmsA","(methyl)malonate-semialdehyde dehydrogenase monomer",NA,NA,"PA0130","aldehyde dehydrogenase",NA,NA
"fabHA","beta-ketoacyl-acyl carrier protein synthase III","fabH","","fabH2","3-oxoacyl-(acyl carrier protein) synthase III","SP_0417","3-oxoacyl-ACP synthase"
"pyrC","dihydroorotase",NA,NA,"PA0401","dihydroorotase","pyrC","dihydroorotase"
"ccpA","transcriptional regulator (Lacl family)","cytR","",NA,NA,"SP_1999","catabolite control protein A"
"araD","L-ribulose-5-phosphate 4-epimerase","araD","L-ribulose 5-phosphate 4-epimerase monomer",NA,NA,"araD","L-ribulose-5-phosphate 4-epimerase"
"rplF","ribosomal protein L6 (BL8)","rplF","50S ribosomal subunit protein L6","rplF","50S ribosomal protein L6","rplF","50S ribosomal protein L6"
"ytcP","putative ABC transporter (permease)",NA,NA,NA,NA,"SP_1797","ABC transporter permease"
"pyrF","orotidine 5'-phosphate decarboxylase","pyrF","","pyrF","orotidine 5'-phosphate decarboxylase","SP_0701","orotidine 5'-phosphate decarboxylase"
"ydfN","putative oxidoreductase","rutE","predicted malonic semialdehyde reductase","PA5190","nitroreductase",NA,NA
"epsD","putative extracellular matrix biosynthesis enzyme","waaG","lipopolysaccharide glucosyltransferase I","PA1385","glycosyl transferase",NA,NA
"pdhB","pyruvate dehydrogenase (E1 beta subunit)",NA,NA,"PA3416","pyruvate dehydrogenase E1 component, subunit beta",NA,NA
"secY","preprotein translocase subunit","secY","","secY","preprotein translocase subunit SecY","secY","preprotein translocase subunit SecY"
"fadA","acetyl-CoA C-acyltransferase","fadA","3-ketoacyl-CoA thiolase","PA3454","acyl-CoA thiolase",NA,NA
"ydfR","conserved hypothetical protein","ycaP","conserved inner membrane protein",NA,NA,NA,NA
"pnbA","para-nitrobenzyl esterase (intracellular esterase B)",NA,NA,"PA5384","lipolytic enzyme",NA,NA
"licH","6-phospho-beta-glucosidase","chbF","monoacetylchitobiose-6-phosphate hydrolase",NA,NA,NA,NA
"ydgC","putative transcriptional regulator",NA,NA,"PA1504","transcriptional regulator",NA,NA
"thiC","phosphomethylpyrimidine synthase monomer","thiC","HMP-P synthase","thiC","thiamine biosynthesis protein ThiC",NA,NA
"dhbB","isochorismatase","entB","EntB monomer","phzD1","phenazine biosynthesis protein PhzD",NA,NA
"yhfC","putative integral membrane protein, putative chaperone",NA,NA,NA,NA,"SP_1391","orf"
"yknX","putative efflux permease","macA","MacAB-TolC macrolide efflux transport system - membrane fusion protein",NA,NA,"SP_0785","orf"
"pit","low-affinity inorganic phosphate transporter","pitB","phosphate transporter","PA0450","phosphate transporter",NA,NA
"fruA","phosphotransferase system (PTS) fructose-specific enzyme IIABC component","fruA","fructose PTS permease - FruA subunit","fruA","phosphotransferase system transporter fructose-specific IIBC component, FruA","SP_0877","PTS system fructose specific transporter subunit IIABC"
"yoaE","molybdopterin cofactor oxido-reductase","dmsA","dimethyl sulfoxide reductase, chain A","PA3534","oxidoreductase",NA,NA
"pheS","phenylalanyl-tRNA synthetase (alpha subunit)","pheS","phenylalanyl-tRNA synthetase α-chain","pheS","phenylalanyl-tRNA synthetase subunit alpha","pheS","phenylalanyl-tRNA synthetase subunit alpha"
"recR","DNA repair and recombination protein","recR","recombination and repair","recR","recombination protein RecR","recR","recombination protein RecR"
"yoaI","putative 4-hydroxyphenylacetate-3-hydroxylase",NA,NA,"pvcC","paerucumarin biosynthesis protein PvcC",NA,NA
